Vendor List,,,,,,,,,,,,,,,
Category,KW,Vendor name,ADDRESS,Date,Invoice no,HSN NO,item,Specification,Make,Unit ,Unit Rate,GST %,WITH GST,DISCOUNT PRICE,TOTAL
,,BHARATH ALUMINIUM TRADING CO,"BASEMENT, 794 A, Bharat Towers, Verivada Road, Mettupalayam Road, Rs Puram, Coimbatore - 641 002",16/Jul/2025,BATC/1033/25-26,76082000,Aluminium Extrusion - Pipes & Tubes ,,,Nos,1250,18%,1475,,
Solar Panel,,FESTA SOLAR PRIVATE LTD ,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600058",26/Jul/2025,FSCB/00235/25-26,85414300,Solar Panel,550wp Non Dcr,ADANI,Nos,8360,12%,9363,,
Inverter,10 KW,FESTA SOLAR PRIVATE LTD ,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600059",29/Jul/2025,FSCH/03137/25-26,85044090,Inverter 10 Kw,3 Ph Ongrid,DEYE,Nos,45000,12%,50400,,
DCDB,10 KW,FESTA SOLAR PRIVATE LTD ,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600059",29/Jul/2025,FSCH/03137/25-26,85362010,DCDB Box ,2 in 2 out 2 MCB & SPD (1000v),,Nos,7000,18%,8260,,
ACDB,10 KW,FESTA SOLAR PRIVATE LTD ,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600059",29/Jul/2025,FSCH/03137/25-26,85362010,ACDB Box,1 in 1 out  3 Ph 32 A MCB,,Nos,3800,18%,4484,,
DCDB,3 KW,FESTA SOLAR PRIVATE LTD ,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600059",29/Jul/2025,FSCH/03137/25-26,85362010,DCDB Box ,1 in 1 out (500v),,Nos,2200,18%,2596,,
ACDB,3 KW,FESTA SOLAR PRIVATE LTD ,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600059",29/Jul/2025,FSCH/03137/25-26,85362010,ACDB Box,1 in 1 out 3Ph  32 A MCB,,Nos,1850,18%,2183,,
DC cable,,FESTA SOLAR PRIVATE LTD ,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600059",29/Jul/2025,FSCH/03137/25-26,85444990,DC Cable,4 SQ.mm (Red),,Mtr,39,18%,46,,
DC cable,,FESTA SOLAR PRIVATE LTD ,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600059",29/Jul/2025,FSCH/03137/25-26,85444990,DC Cable,4 SQ.mm (Black),,Mtr,39,18%,46,,
Inverter,3 KW,FESTA SOLAR PRIVATE LTD ,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600059",31/Jul/2025,FSCH/03204/25-26,85044090,Inverter 3.3 Kw,1 Ph Ongrid,DEYE,Nos,16500,12%,18480,,
